Time (hh:mm:ss)	[CH4] dissolved with water vapour (ppm)
2024/07/03 12:47:09	2.9385
2024/07/03 12:47:10	2.95964
2024/07/03 12:47:11	3.17804
2024/07/03 12:47:12	3.21492
2024/07/03 12:47:13	2.86443
2024/07/03 12:47:14	3.02723
2024/07/03 12:47:15	3.03518
2024/07/03 12:47:16	2.95936
2024/07/03 12:47:17	2.98885
2024/07/03 12:47:18	2.94221
2024/07/03 12:47:19	3.14375
2024/07/03 12:47:20	3.12802
2024/07/03 12:47:21	3.04063
2024/07/03 12:47:22	3.01545
2024/07/03 12:47:23	3.0509
2024/07/03 12:47:24	3.0505
2024/07/03 12:47:25	3.12275
2024/07/03 12:47:26	3.00329
2024/07/03 12:47:27	3.115
2024/07/03 12:47:28	3.1361
2024/07/03 12:47:29	2.90427
2024/07/03 12:47:30	2.94152
2024/07/03 12:47:31	3.24428
2024/07/03 12:47:32	3.13323
2024/07/03 12:47:33	3.05795
2024/07/03 12:47:34	3.10053
2024/07/03 12:47:35	3.09896
2024/07/03 12:47:36	3.03976
2024/07/03 12:47:37	3.01055
2024/07/03 12:47:38	3.03691
2024/07/03 12:47:39	3.10908
2024/07/03 12:47:40	2.96279
2024/07/03 12:47:41	3.07882
2024/07/03 12:47:42	3.13111
2024/07/03 12:47:43	3.08979
2024/07/03 12:47:44	3.05989
2024/07/03 12:47:45	3.01261
2024/07/03 12:47:46	3.09364
2024/07/03 12:47:47	3.06861
2024/07/03 12:47:48	3.01372
2024/07/03 12:47:49	3.20539
2024/07/03 12:47:50	3.11151
2024/07/03 12:47:51	3.06629
2024/07/03 12:47:52	3.04346
2024/07/03 12:47:53	3.11977
2024/07/03 12:47:54	3.12234
2024/07/03 12:47:55	3.11662
2024/07/03 12:47:56	3.03905
2024/07/03 12:47:57	3.13344
2024/07/03 12:47:58	3.10099
2024/07/03 12:47:59	3.05363
2024/07/03 12:48:00	3.11696
2024/07/03 12:48:01	3.08152
2024/07/03 12:48:02	3.19982
2024/07/03 12:48:03	3.01529
2024/07/03 12:48:04	3.04952
2024/07/03 12:48:05	3.15048
2024/07/03 12:48:06	3.15855
2024/07/03 12:48:07	3.06749
2024/07/03 12:48:08	2.81275
2024/07/03 12:48:09	2.99817
2024/07/03 12:48:10	3.1554
2024/07/03 12:48:11	3.15243
2024/07/03 12:48:12	3.04441
2024/07/03 12:48:13	3.16942
2024/07/03 12:48:14	3.27012
2024/07/03 12:48:15	3.18994
2024/07/03 12:48:16	3.00063
2024/07/03 12:48:17	3.03443
2024/07/03 12:48:18	3.17852
2024/07/03 12:48:19	2.99801
2024/07/03 12:48:20	2.88636
2024/07/03 12:48:21	3.10616
2024/07/03 12:48:22	3.0508
2024/07/03 12:48:23	3.22019
2024/07/03 12:48:24	3.09185
2024/07/03 12:48:25	3.03782
2024/07/03 12:48:26	3.10994
2024/07/03 12:48:27	3.18612
2024/07/03 12:48:28	3.11279
2024/07/03 12:48:29	2.98824
2024/07/03 12:48:30	3.1682
2024/07/03 12:48:31	3.18665
2024/07/03 12:48:32	2.95292
2024/07/03 12:48:33	3.11994
2024/07/03 12:48:34	2.88524
2024/07/03 12:48:35	2.98935
2024/07/03 12:48:36	2.99149
2024/07/03 12:48:37	2.99453
2024/07/03 12:48:38	3.13582
2024/07/03 12:48:39	2.99343
2024/07/03 12:48:40	3.08773
2024/07/03 12:48:41	3.05199
2024/07/03 12:48:42	3.16969
2024/07/03 12:48:43	2.97147
2024/07/03 12:48:44	3.17923
2024/07/03 12:48:45	2.98499
2024/07/03 12:48:46	3.15795
2024/07/03 12:48:47	3.108
2024/07/03 12:48:48	3.05774
2024/07/03 12:48:49	3.49722
2024/07/03 12:48:50	3.49695
2024/07/03 12:48:51	nan
2024/07/03 12:48:52	2.90654
2024/07/03 12:48:53	2.87174
2024/07/03 12:48:54	3.07008
2024/07/03 12:48:55	2.9263
2024/07/03 12:48:56	3.08642
2024/07/03 12:48:57	3.16767
2024/07/03 12:48:58	3.02216
2024/07/03 12:48:59	3.1484
2024/07/03 12:49:00	3.07722
2024/07/03 12:49:01	3.02519
2024/07/03 12:49:03	2.9159
2024/07/03 12:49:04	2.9392
2024/07/03 12:49:05	3.05108
2024/07/03 12:49:06	2.97077
2024/07/03 12:49:07	3.10375
2024/07/03 12:49:08	2.98984
2024/07/03 12:49:09	3.00925
2024/07/03 12:49:10	3.15061
2024/07/03 12:49:11	3.1155
2024/07/03 12:49:12	3.17602
2024/07/03 12:49:13	3.00119
2024/07/03 12:49:14	2.90131
2024/07/03 12:49:15	2.92541
2024/07/03 12:49:16	3.07078
2024/07/03 12:49:17	3.10649
2024/07/03 12:49:18	3.08835
2024/07/03 12:49:19	3.01896
2024/07/03 12:49:20	3.04462
2024/07/03 12:49:21	3.00401
2024/07/03 12:49:22	2.9378
2024/07/03 12:49:23	3.03542
2024/07/03 12:49:24	3.1164
2024/07/03 12:49:25	2.94918
2024/07/03 12:49:26	2.98187
2024/07/03 12:49:27	2.96747
2024/07/03 12:49:28	2.96714
