Tv2C	Sal2	Sbeox2PS	PrdE
3.8062	0	9.20934	-0.114
3.9712	0	9.16943	-0.11
3.7777	0	9.21627	-0.11
3.9706	0	9.16958	-0.106
3.7574	0	9.2212	-0.106
3.8627	0	9.19564	-0.105
4.0002	0	9.16244	-0.104
3.9434	0.0012	9.17606	-0.104
3.7716	0	9.21775	-0.104
4.0017	0.0012	9.16202	-0.103
3.9694	0	9.16987	-0.103
3.8058	0.0011	9.20938	-0.103
3.8343	0	9.20252	-0.103
5.5466	0	8.80269	-0.103
3.8142	0	9.2074	-0.102
-27.89	0	29.13362	-0.101
3.9863	0	9.1658	-0.1
3.9043	0	9.18558	-0.1
3.8303	0	9.20349	-0.1
3.7889	0.0011	9.21349	-0.1
3.7994	0	9.211	-0.1
3.8173	0	9.20664	-0.099
3.8071	0	9.20914	-0.099
3.8135	0	9.20756	-0.099
3.9878	0	9.16543	-0.098
3.8054	0	9.20954	-0.097
3.7689	0	9.21842	-0.097
3.7996	0	9.21095	-0.097
3.8657	0	9.19491	-0.097
4.0061	0	9.16104	-0.096
3.9175	0	9.18238	-0.096
3.8909	0	9.18882	-0.096
3.8386	0.0011	9.20142	-0.096
3.8376	0	9.20173	-0.096
-29.3583	0	31.34282	-0.095
3.9833	0	9.16653	-0.095
3.9241	0	9.18081	-0.095
4.0093	0	9.16027	-0.094
4.0099	0	9.16012	-0.094
3.981	0	9.16707	-0.094
3.9943	0	9.16386	-0.094
3.8257	0.0011	9.20456	-0.094
3.806	0	9.20939	-0.094
-28.2004	0	29.58183	-0.093
3.9669	0	9.17046	-0.093
4.0063	0	9.16098	-0.093
3.9683	0	9.17014	-0.093
3.8077	0	9.20899	-0.093
3.994	0	9.16395	-0.092
3.9754	0	9.16843	-0.092
3.7793	0.0011	9.21581	-0.092
3.7791	0	9.21593	-0.092
3.7792	0	9.2159	-0.092
3.8636	0	9.19542	-0.092
4.0033	0	9.1617	-0.091
3.9802	0	9.16726	-0.091
3.9502	0	9.1745	-0.091
3.7669	0	9.2189	-0.091
3.8074	0	9.20906	-0.091
4.0105	0	9.15997	-0.09
3.994	0	9.16394	-0.09
3.8864	0	9.18992	-0.09
3.8806	0	9.19132	-0.09
3.8092	0	9.20862	-0.09
3.7667	0	9.21895	-0.09
3.775	0	9.21691	-0.09
3.7773	0	9.21636	-0.09
3.7964	0	9.21171	-0.09
3.799	0	9.2111	-0.09
3.8324	0	9.203	-0.09
3.8368	0	9.20191	-0.09
3.9971	0	9.16321	-0.089
4.0094	0	9.16023	-0.089
3.9446	0	9.17584	-0.089
3.8415	0	9.20078	-0.089
3.828	0	9.20406	-0.089
3.7822	0	9.21517	-0.089
3.7776	0	9.2163	-0.089
3.7801	0	9.21569	-0.089
3.7996	0	9.21095	-0.089
3.8044	0.0011	9.20971	-0.089
3.8071	0	9.20913	-0.089
3.9913	0	9.1646	-0.088
4.0039	0	9.16155	-0.088
4.0118	0	9.15965	-0.088
4.0037	0	9.16161	-0.088
3.9805	0	9.1672	-0.088
3.9887	0	9.16521	-0.088
3.9927	0	9.16425	-0.088
3.9904	0	9.16481	-0.088
3.8668	0	9.19466	-0.088
3.8495	0	9.19883	-0.088
3.7569	0	9.22133	-0.088
3.769	0	9.21837	-0.088
3.7791	0	9.21593	-0.088
3.7771	0	9.21642	-0.088
3.7824	0	9.21513	-0.088
3.8291	0	9.20379	-0.088
3.8526	0	9.1981	-0.088
3.8619	0	9.19584	-0.088
3.8648	0	9.19514	-0.088
5.1956	0	8.88223	-0.088
4.0028	0	9.16182	-0.087
3.98	0	9.16731	-0.087
3.9628	0	9.17146	-0.087
3.9263	0	9.18027	-0.087
3.8607	0	9.19612	-0.087
3.8122	0	9.20789	-0.087
3.8044	0	9.20977	-0.087
3.7611	0	9.22031	-0.087
3.7674	0	9.21876	-0.087
-25.9787	0	26.575	-0.086
-20.4756	0	20.78854	-0.086
4.0137	0	9.15921	-0.086
3.9703	0	9.16965	-0.086
3.922	0	9.1813	-0.086
3.8409	0	9.20092	-0.086
3.8394	0	9.20129	-0.086
3.8259	0	9.20457	-0.086
3.8193	0	9.20618	-0.086
3.7587	0	9.22088	-0.086
3.76	0	9.22057	-0.086
3.7773	0	9.21636	-0.086
3.7765	0	9.21656	-0.086
3.8451	0	9.19992	-0.086
3.9995	0	9.16262	-0.085
4.0103	0	9.16001	-0.085
3.9924	0	9.16432	-0.085
3.9265	0	9.18021	-0.085
3.903	0	9.18589	-0.085
3.8861	0	9.18999	-0.085
3.8159	0	9.207	-0.085
3.8513	0	9.1984	-0.085
-29.0864	0	30.91626	-0.084
-27.3126	0	28.32498	-0.084
-17.2606	0	18.22991	-0.084
3.9936	0	9.16404	-0.084
3.9911	0	9.16464	-0.084
3.9688	0	9.17001	-0.084
3.9553	0	9.17326	-0.084
3.8949	0	9.18785	-0.084
3.8789	0	9.19173	-0.084
3.8643	0	9.19525	-0.084
3.8431	0	9.20038	-0.084
3.8386	0	9.20148	-0.084
3.8308	0	9.20338	-0.084
3.7617	0	9.22016	-0.084
3.7787	0	9.21604	-0.084
3.7772	0	9.21639	-0.084
3.8086	0	9.20877	-0.084
3.8168	0	9.20678	-0.084
3.8284	0	9.20395	-0.084
3.8505	0	9.19861	-0.084
2.6186	0	9.50549	-0.083
4.0084	0	9.16048	-0.083
3.9696	0	9.16981	-0.083
3.9659	0	9.17071	-0.083
3.9484	0	9.17493	-0.083
3.9218	0	9.18135	-0.083
3.8511	0	9.19846	-0.083
3.8532	0	9.19795	-0.083
3.8351	0	9.20234	-0.083
3.8207	0	9.20583	-0.083
