Date	Time	Date calibrated	Time calibrated	[CH4] dissolved with water vapour (ppm)	[CH4] dissolved with water vapour (nmol/L)	[CH4] dissolved with constant dry gas flow (ppm)	[CH4] dissolved with constant dry gas flow (nmol/L)	[C2H6] dissolved (ppm)	Delta 13 CH4 (per-mille)	Depth (meter)	Hydrostatic Pressure Calibrated (bar)	[CH4] measured (ppm)	[H2O] measured (%)	[C13] measured (ppm)	[C2H6] measured (ppm)	Flow Carrier Gas (sccm)	Total Flow (sccm)	Cavity Pressure (mbar)	Cellule Temperature (Degree Celsius)	Hydrostatic pressure (bar)	LShift	Error Standard	Ringdown Time (microSec)	Box Temperature (Degree Celsius)	Box Pressure (mbar)	PWM Cellule Temperature	PWM Cellule Pressure	Laser Temperature (Degree Celsius)	Laser Flux	Norm Signal	Value Max
2024/07/05	18:24:44	2024/07/05	18:25:00	6.98298	7.74213	81.9377	90.8455	0.0238625	-56.5718	0	0	1.712	1.259	0.679	0.003	2.00062	5	30	39.997	0.000	6.178	0.0049	14.432	24.362	11.029	36.020	31.990	15.900	54.868	2.468	1.0678
2024/07/05	18:24:45	2024/07/05	18:25:01	6.80338	7.543	79.8192	88.4966	-0.176596	53.5586	0	0	1.704	1.276	0.779	0.002	2	4.99969	29.9688	39.969	0.000	6.143	0.0057	14.432	24.364	3.928	35.160	31.990	15.899	54.871	2.468	1.0679
2024/07/05	18:24:46	2024/07/05	18:25:02	6.61952	7.33916	77.7172	86.1661	0.0286258	-241.551	0	0	1.729	1.421	0.619	0.013	1.99969	5.00125	30	39.990	0.000	6.123	0.0057	14.459	24.365	4.294	36.200	31.990	15.898	54.868	2.468	1.0680
2024/07/05	18:24:47	2024/07/05	18:25:03	6.88582	7.6344	80.7992	89.5832	-0.0143181	-82.1184	0	0	1.755	1.377	0.765	-0.001	2.00031	5.00031	30	39.992	0.000	6.150	0.0057	14.449	24.365	3.855	36.200	31.990	15.901	54.868	2.468	1.0679
2024/07/05	18:24:48	2024/07/05	18:25:04	6.86612	7.61256	80.6221	89.3869	0.0286223	-228.944	0	0	1.698	1.278	0.559	0.000	1.99969	5.00125	30	40.009	0.000	6.121	0.0070	14.457	24.364	3.636	35.340	31.990	15.894	54.871	2.468	1.0679
2024/07/05	18:24:49	2024/07/05	18:25:05	6.78257	7.51993	79.587	88.2393	-0.0238636	-39.3149	0	0	1.794	1.384	0.821	-0.006	2.00031	5.00031	29.9844	39.978	0.000	6.150	0.0052	14.457	24.367	17.031	35.510	31.990	15.895	54.871	2.468	1.0679
2024/07/05	18:24:50	2024/07/05	18:25:06	7.06977	7.83835	82.9615	91.9806	0.0190887	-134.343	0	0	1.666	1.352	0.715	0.001	2	5	29.9844	39.992	0.000	6.148	0.0047	14.457	24.369	4.026	34.820	31.990	15.888	54.871	2.467	1.0679
2024/07/05	18:24:51	2024/07/05	18:25:07	6.80665	7.54663	79.8595	88.5413	-0.0143182	-140.792	0	0	1.772	1.258	0.661	0.002	2	4.99969	30	40.004	0.000	6.157	0.0046	14.424	24.365	3.636	35.340	31.990	15.893	54.868	2.468	1.0678
2024/07/05	18:24:52	2024/07/05	18:25:08	7.06588	7.83404	82.9243	91.9393	0.0286319	-122.108	0	0	1.698	1.311	0.795	0.000	2	5.00031	30	40.002	0.000	6.147	0.0052	14.423	24.365	3.977	35.340	31.990	15.899	54.871	2.468	1.0679
2024/07/05	18:24:53	2024/07/05	18:25:09	6.49384	7.19981	76.2433	84.5321	0.0143135	-15.9559	0	0	1.646	1.391	0.641	0.003	2	5.00156	30.0156	40.007	0.000	6.150	0.0050	14.423	24.365	3.514	35.680	31.990	15.893	54.871	2.468	1.0679
2024/07/05	18:24:54	2024/07/05	18:25:10	7.05502	7.822	82.761	91.7582	0.0190927	-176.106	0	0	1.822	1.516	0.679	0.000	2.00031	4.99937	30.0156	39.992	0.000	6.145	0.0051	14.423	24.367	6.808	35.510	31.990	15.897	54.871	2.468	1.0680
2024/07/05	18:24:55	2024/07/05	18:25:11	6.56259	7.27604	77.011	85.3832	0.023862	-117.766	0	0	1.695	1.270	0.709	0.007	2	5.00031	30	40.002	0.000	6.145	0.0044	14.416	24.369	4.319	35.510	31.990	15.898	54.871	2.468	1.0682
2024/07/05	18:24:56	2024/07/05	18:25:12	6.6774	7.40333	78.3594	86.8782	-0.0524991	31.9603	0	0	1.754	1.383	0.808	-0.010	2	5.00063	30	39.999	0.000	6.149	0.0053	14.408	24.369	4.172	34.130	31.990	15.896	54.871	2.468	1.0681
2024/07/05	18:24:57	2024/07/05	18:25:13	6.77621	7.51288	79.4799	88.1205	0.0334144	-248.244	0	0	1.725	1.175	0.552	0.007	2	4.99906	30	39.993	0.000	6.112	0.0074	14.408	24.367	3.514	35.850	31.990	15.857	54.871	2.468	1.0681
2024/07/05	18:24:58	2024/07/05	18:25:14	7.11409	7.88749	83.475	92.55	0	-99.0732	0	0	1.735	1.073	0.613	0.004	2	5	29.9844	40.004	0.000	6.142	0.0053	14.397	24.367	3.611	35.850	31.990	15.895	54.871	2.468	1.0679
2024/07/05	18:24:59	2024/07/05	18:25:15	6.8395	7.58305	80.2313	88.9535	0.057279	-203.584	0	0	1.680	1.422	0.834	-0.002	2.00031	4.99937	30	40.004	0.000	6.139	0.0061	14.388	24.369	3.904	35.170	31.990	15.896	54.871	2.468	1.0678
2024/07/05	18:25:00	2024/07/05	18:25:16	6.84751	7.59194	80.336	89.0696	0	-65.7328	0	0	1.774	1.267	0.795	0.005	2.00031	5	30	40.012	0.000	6.146	0.0042	14.388	24.371	3.782	35.510	31.990	15.898	54.871	2.469	1.0680
2024/07/05	18:25:01	2024/07/05	18:25:17	6.93465	7.68855	81.3819	90.2293	0.0429465	-72.1683	0	0	1.728	1.569	0.886	-0.037	1.99969	5	30	39.997	0.000	6.128	0.0069	14.374	24.371	4.124	34.990	31.990	15.895	54.871	2.470	1.0677
2024/07/05	18:25:02	2024/07/05	18:25:18	6.82864	7.571	80.0741	88.7793	-0.0143224	32.6824	0	0	1.682	1.247	0.570	0.006	2.00031	4.99844	30	39.999	0.000	6.169	0.0064	14.388	24.371	7.710	35.510	31.990	15.895	54.875	2.470	1.0681
2024/07/05	18:25:03	2024/07/05	18:25:19	6.58805	7.30427	77.3151	85.7204	0.0143162	-62.2904	0	0	1.749	1.352	0.758	-0.003	1.99969	5.00031	30	39.997	0.000	6.157	0.0048	14.388	24.371	4.465	35.510	31.990	15.899	54.868	2.470	1.0681
2024/07/05	18:25:04	2024/07/05	18:25:20	6.88589	7.63448	80.7855	89.568	0.00477296	13.5144	0	0	1.745	1.159	0.604	0.006	2	4.99969	30	40.007	0.000	6.156	0.0038	14.388	24.367	4.172	35.340	31.990	15.897	54.871	2.470	1.0681
2024/07/05	18:25:05	2024/07/05	18:25:21	6.94886	7.7043	81.5311	90.3946	0.0286372	-227.129	0	0	1.723	1.520	0.791	-0.005	2	5	30	40.012	0.000	6.172	0.0042	14.375	24.367	3.733	36.030	31.990	15.896	54.871	2.472	1.0681
2024/07/05	18:25:06	2024/07/05	18:25:22	6.80027	7.53955	79.7821	88.4555	0.00477379	21.7908	0	0	1.796	1.253	0.722	0.004	2.00094	5.00063	30	40.002	0.000	6.142	0.0033	14.367	24.371	4.099	35.680	31.990	15.894	54.868	2.473	1.0680
2024/07/05	18:25:07	2024/07/05	18:25:23	6.76853	7.50436	79.4312	88.0664	0.0524909	-194.447	0	0	1.729	1.436	0.689	-0.003	1.99969	5	29.9844	40.005	0.000	6.159	0.0043	14.371	24.372	4.270	34.820	31.990	15.891	54.875	2.473	1.0680
2024/07/05	18:25:08	2024/07/05	18:25:24	6.89423	7.64373	80.8881	89.6818	-0.0143189	-67.4762	0	0	1.795	1.217	0.736	0.006	2.00031	5	30	39.997	0.000	6.162	0.0045	14.369	24.376	3.806	35.510	31.990	15.898	54.871	2.475	1.0680
2024/07/05	18:25:09	2024/07/05	18:25:25	6.86146	7.6074	80.5106	89.2632	-0.00477227	-211.917	0	0	1.650	1.320	0.778	0.003	1.99969	4.99969	30	39.999	0.000	6.138	0.0058	14.369	24.376	4.221	35.510	31.990	15.895	54.871	2.476	1.0677
2024/07/05	18:25:10	2024/07/05	18:25:26	6.86578	7.61219	80.5608	89.3189	0.00477289	-135.964	0	0	1.792	1.363	0.676	0.004	2.00031	5.00031	30	40.009	0.000	6.144	0.0043	14.371	24.374	3.660	35.510	31.990	15.896	54.875	2.476	1.0679
2024/07/05	18:25:11	2024/07/05	18:25:27	6.75639	7.49091	79.2598	87.8765	0.0143191	-63.1693	0	0	1.667	1.441	0.686	0.005	2	4.99937	30	39.997	0.000	6.147	0.0054	14.369	24.374	3.636	36.200	31.990	15.896	54.871	2.476	1.0678
2024/07/05	18:25:12	2024/07/05	18:25:28	7.17379	7.95368	84.1449	93.2926	-0.0143211	-100.873	0	0	1.696	1.486	0.849	-0.011	2.00031	4.99937	30.0156	39.992	0.000	6.148	0.0060	14.369	24.372	4.294	35.860	31.990	15.891	54.868	2.476	1.0679
2024/07/05	18:25:13	2024/07/05	18:25:29	6.92572	7.67864	81.2592	90.0932	0.00954576	-72.5544	0	0	1.721	1.283	0.575	0.007	2	5	30	40.005	0.000	6.143	0.0070	14.369	24.371	4.172	36.030	31.990	15.893	54.868	2.477	1.0679
2024/07/05	18:25:14	2024/07/05	18:25:30	6.66341	7.38782	78.1599	86.657	0.0429651	-152.239	0	0	1.807	1.202	0.767	0.000	2.00062	4.99969	29.9844	39.995	0.000	6.183	0.0048	14.366	24.372	3.880	35.690	31.990	15.898	54.868	2.478	1.0677
2024/07/05	18:25:15	2024/07/05	18:25:31	6.87039	7.6173	80.6442	89.4113	0.0286288	-311.826	0	0	1.737	1.246	0.627	0.012	1.99969	5.00063	30.0156	39.995	0.000	6.149	0.0058	14.366	24.372	14.372	35.690	31.990	15.898	54.868	2.479	1.0675
2024/07/05	18:25:16	2024/07/05	18:25:32	6.56696	7.28088	77.0358	85.4107	0.0190914	-73.1181	0	0	1.739	1.477	0.771	0.000	2	4.99906	30	39.992	0.000	6.164	0.0040	14.371	24.376	4.246	36.040	31.990	15.895	54.871	2.479	1.0675
2024/07/05	18:25:17	2024/07/05	18:25:33	7.03566	7.80053	82.5443	91.518	-0.00954632	-55.0938	0	0	1.762	1.200	0.773	0.009	2.00031	5	29.9844	40.014	0.000	6.143	0.0035	14.377	24.374	4.172	35.860	31.990	15.895	54.871	2.479	1.0673
2024/07/05	18:25:18	2024/07/05	18:25:34	6.55034	7.26245	76.8653	85.2217	0.0286351	-152.19	0	0	1.734	1.433	0.868	-0.003	2	5.00031	30	40.000	0.000	6.134	0.0057	14.424	24.374	3.611	35.350	31.990	15.894	54.871	2.479	1.0675
2024/07/05	18:25:19	2024/07/05	18:25:35	6.91627	7.66817	81.1673	89.9913	-0.00954412	-56.7326	0	0	1.674	1.437	0.743	0.003	1.99969	5.00031	29.9844	40.024	0.000	6.136	0.0047	14.425	24.376	3.880	35.000	31.990	15.889	54.868	2.478	1.0675
2024/07/05	18:25:20	2024/07/05	18:25:36	6.60341	7.32129	77.4613	85.8824	-0.00477358	-20.9542	0	0	1.749	1.297	0.855	0.001	2.00031	4.99969	30	40.002	0.000	6.124	0.0046	14.425	24.376	6.124	35.000	31.990	15.895	54.871	2.478	1.0675
2024/07/05	18:25:21	2024/07/05	18:25:37	7.02114	7.78443	82.3628	91.3168	-0.00954702	-92.7956	0	0	1.765	1.377	0.612	0.006	2.00031	4.99969	30.0156	40.000	0.000	6.140	0.0059	14.437	24.378	4.294	34.660	31.990	15.895	54.871	2.478	1.0675
2024/07/05	18:25:22	2024/07/05	18:25:38	6.73368	7.46573	78.9621	87.5464	0.0238702	-175.143	0	0	1.727	1.252	0.855	0.001	2	4.99844	30	40.005	0.000	6.162	0.0053	14.425	24.379	4.148	35.520	31.990	15.898	54.871	2.478	1.0673
2024/07/05	18:25:23	2024/07/05	18:25:39	6.84368	7.58768	80.2935	89.0225	0.00477306	-162.853	0	0	1.719	1.150	0.628	0.011	2	5	30	39.966	0.000	6.119	0.0067	14.411	24.378	4.148	35.000	31.990	15.895	54.875	2.478	1.0677
