Date,Time,Pres,Temp,Cond,Sal,O2%,O2ppm,pH,PAR,Chl(a)Phy-EthrinPhy-Cyanin,datetime,Depth,pot_temp,density,N2,mld_temp,mld_dens
06-07-2024,15:49:044.19,0.21,5.472,24.062,23.996,97.8,10.53,7.649,777.70386,5.3,2024-07-06 15:49:04.419,0.20826865256181049,5.471987080327935,18.843117640067135,-0.00210635008312489,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:044.43,0.27,5.47,24.046,23.979,97.8,10.52,7.69,777.81708,3.59,2024-07-06 15:49:04.443,0.2677739428504379,5.469983401567251,18.82994844606253,5.754177905436784e-05,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:044.68,0.3,5.468,24.044,23.979,97.8,10.52,7.729,783.67542,5.01,2024-07-06 15:49:04.468,0.29752658149231376,5.467981562295949,18.830128309917313,-0.0052319246770716294,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:044.92,0.28,5.469,24.058,23.993,97.8,10.52,7.764,789.20953,3.62,2024-07-06 15:49:04.492,0.27769148954605827,5.4689827822016355,18.841031886623114,0.00016680554905729305,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:045.17,0.32,5.47,24.059,23.994,97.8,10.52,7.796,790.74902,3.62,2024-07-06 15:49:04.517,0.31736167151192357,5.469980319140904,18.841727155623857,-0.0027474171031850085,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:045.41,0.37,5.472,24.044,23.976,97.8,10.52,7.827,637.65222,2.12,2024-07-06 15:49:04.541,0.36694938813188005,5.471977249415379,18.827412811022327,-0.012444618762182176,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:045.66,0.4,5.468,23.996,23.926,97.8,10.53,7.86,356.26044,1.16,2024-07-06 15:49:04.566,0.3967020123239277,5.467975453683051,18.788510002962653,0.003033492646970429,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:045.90,0.49,5.466,24.028,23.962,97.8,10.53,7.893,315.14426,0.38,2024-07-06 15:49:04.590,0.4859598588904479,5.465969907394335,18.816958739710003,0.14553032511364214,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:046.15,0.5,5.465,24.203,24.155,97.8,10.51,7.924,318.4505,3.89,2024-07-06 15:49:04.615,0.495877394989544,5.4649691263300015,18.968604963443113,0.04357845147305202,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:046.39,0.52,5.468,24.311,24.271,97.9,10.52,7.952,328.5173,2.8,2024-07-06 15:49:04.639,0.5157124657427605,5.4679677712700885,19.05942469112165,-0.0010048001074536446,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:046.64,0.55,5.468,24.308,24.267,98.0,10.52,7.979,334.87744,2.8,2024-07-06 15:49:04.664,0.5454650682601496,5.4679659156837594,19.056283609327465,0.01591257828672776,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:046.89,0.53,5.47,24.271,24.225,98.0,10.53,8.004,326.89563,3.39,2024-07-06 15:49:04.689,0.5256300003968817,5.469967185681301,19.023121014696926,inf,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:047.14,0.53,5.474,24.452,24.421,98.1,10.52,8.025,339.45306,3.57,2024-07-06 15:49:04.714,0.5256300003968817,5.473966983914551,19.176668526683784,0.004743565725220385,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:047.38,0.5,5.473,24.434,24.402,98.2,10.54,8.044,358.59265,4.16,2024-07-06 15:49:04.738,0.495877394989544,5.472968873891469,19.161839767377955,0.011941691348076575,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:047.63,0.45,5.475,24.364,24.323,98.3,10.55,8.062,343.64972,3.7,2024-07-06 15:49:04.763,0.4462897096774762,5.474972042010213,19.099622102734997,0.0042411805261224084,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:047.87,0.48,5.476,24.38,24.34,98.4,10.56,8.078,358.492,3.37,2024-07-06 15:49:04.787,0.4760423223096934,5.475970159538888,19.112880359506676,0.012057333157193404,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:048.12,0.5,5.476,24.409,24.372,98.5,10.57,8.094,324.55377,3.26,2024-07-06 15:49:04.812,0.495877394989544,5.475968887791279,19.1380084430142,inf,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:048.36,0.5,5.476,24.425,24.39,98.6,10.58,8.108,312.48117,3.26,2024-07-06 15:49:04.836,0.495877394989544,5.475968871866447,19.152143018254947,0.015042499569325591,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:048.61,0.53,5.477,24.481,24.45,98.7,10.59,8.121,332.9523,3.94,2024-07-06 15:49:04.861,0.5256300003968817,5.476966943330455,19.19916702362832,-inf,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:048.85,0.53,5.473,24.359,24.32,98.9,10.62,8.133,316.66895,3.4,2024-07-06 15:49:04.885,0.5256300003968817,5.472967083112467,19.097448311967355,0.0012613470694780157,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:049.10,0.55,5.47,24.36,24.323,99.0,10.63,8.145,335.32153,2.25,2024-07-06 15:49:04.910,0.5454650682601496,5.469965851869597,19.10007697909839,-inf,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:049.34,0.55,5.468,24.285,24.243,99.2,10.65,8.156,329.38254,4.1,2024-07-06 15:49:04.934,0.5454650682601496,5.467965939062533,19.037437139435724,0.005673724257589,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:049.59,0.51,5.469,24.259,24.213,99.3,10.67,8.163,335.42148,3.45,2024-07-06 15:49:04.959,0.5057949306069816,5.468968439184044,19.013788495372182,0.01793546186204506,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:049.83,0.46,5.469,24.15,24.094,99.4,10.69,8.171,339.72394,4.19,2024-07-06 15:49:04.983,0.45620724770320764,5.468971630569426,18.920342507675173,-inf,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:050.08,0.46,5.469,24.129,24.071,99.6,10.71,8.178,374.03149,4.19,2024-07-06 15:49:05.008,0.45620724770320764,5.468971649325218,18.90228161858147,-inf,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:050.33,0.46,5.469,24.088,24.026,99.7,10.72,8.185,370.21823,2.26,2024-07-06 15:49:05.033,0.45620724770320764,5.4689716860282465,18.86694518966908,0.003634505536375939,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:050.57,0.51,5.468,24.109,24.05,99.8,10.74,8.19,262.68225,2.46,2024-07-06 15:49:05.057,0.5057949306069816,5.467968590821979,18.885881402307177,0.0063301423799880475,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:050.82,0.56,5.468,24.147,24.092,99.9,10.75,8.194,345.88129,4.41,2024-07-06 15:49:05.082,0.5553826014692969,5.467965469566057,18.918862249092285,0.022607732706594823,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:051.07,0.58,5.468,24.203,24.152,100.0,10.75,8.197,335.78635,3.64,2024-07-06 15:49:05.107,0.5752176664426186,5.467964174562582,18.96597793158196,-0.007535924423292805,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:051.31,0.59,5.468,24.194,24.142,100.1,10.76,8.202,322.51984,3.17,2024-07-06 15:49:05.131,0.5851351982067936,5.46796356729097,18.958125302502253,-0.04738960097645504,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:051.56,0.6,5.467,24.135,24.079,100.2,10.78,8.206,324.81213,2.64,2024-07-06 15:49:05.156,0.5950527294893114,5.466963021809004,18.908744085128774,-0.005345634906874707,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:051.80,0.53,5.47,24.183,24.129,100.4,10.79,8.208,335.40887,2.64,2024-07-06 15:49:05.180,0.5256300003968817,5.469967275828918,18.947736156836868,-0.019006372583617634,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:052.05,0.49,5.471,24.276,24.23,100.5,10.8,8.209,340.56476,3.02,2024-07-06 15:49:05.205,0.4859598588904479,5.470969653917218,19.02695664441626,-0.009275077570693699,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:052.30,0.45,5.469,24.319,24.279,100.6,10.8,8.212,346.2854,3.02,2024-07-06 15:49:05.230,0.4462897096774762,5.468972099835098,19.06561605872639,0.016666392536797747,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:052.54,0.46,5.468,24.339,24.301,100.6,10.81,8.216,348.79672,4.11,2024-07-06 15:49:05.254,0.45620724770320764,5.467971465754304,19.082982836325527,0.03541925777296289,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:052.79,0.45,5.468,24.295,24.254,100.7,10.82,8.22,325.37683,3.1,2024-07-06 15:49:05.279,0.4462897096774762,5.467972123554823,19.046075100363055,0.007536014172233571,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:053.03,0.51,5.468,24.35,24.314,100.8,10.83,8.221,309.31555,2.38,2024-07-06 15:49:05.303,0.5057949306069816,5.46796835226172,19.093191383337853,-0.018538537777848155,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:053.28,0.56,5.468,24.238,24.191,100.9,10.84,8.224,319.38828,3.64,2024-07-06 15:49:05.328,0.5553826014692969,5.467965371313538,18.996603243780555,0.05275180955092396,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:053.52,0.57,5.468,24.302,24.261,101.0,10.85,8.226,337.83731,3.64,2024-07-06 15:49:05.352,0.5653001341967864,5.467964682219324,19.051571988500882,-0.006028785673180468,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:053.77,0.61,5.468,24.273,24.229,101.1,10.86,8.229,350.15121,2.99,2024-07-06 15:49:05.377,0.6049702602901722,5.467962238156426,19.026443381835634,-0.003130280399016619,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:054.02,0.56,5.47,24.293,24.25,101.2,10.87,8.23,329.84146,2.44,2024-07-06 15:49:05.402,0.5553826014692969,5.469965303335461,19.04275258153723,-0.004130238244016633,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:054.26,0.5,5.471,24.324,24.283,101.3,10.88,8.231,341.46851,3.69,2024-07-06 15:49:05.426,0.495877394989544,5.470968987639441,19.068575474429736,0.001959340845114243,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:054.51,0.45,5.471,24.312,24.27,101.4,10.89,8.233,365.71738,2.09,2024-07-06 15:49:05.451,0.4462897096774762,5.470972099415228,19.05836706600428,-0.12341498808485492,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:054.76,0.46,5.469,24.161,24.106,101.5,10.91,8.235,399.32544,3.65,2024-07-06 15:49:05.476,0.45620724770320764,5.4689716207847425,18.929765593076127,-inf,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:055.00,0.46,5.468,24.081,24.02,101.6,10.93,8.238,307.45181,3.63,2024-07-06 15:49:05.500,0.45620724770320764,5.467971694809772,18.86232372034226,-0.029637279981143544,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:055.25,0.48,5.465,24.008,23.941,101.6,10.94,8.24,323.80106,3.63,2024-07-06 15:49:05.525,0.4760423223096934,5.464970543510505,18.800558125120688,-0.012445131346721521,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:055.49,0.51,5.461,23.959,23.891,101.7,10.95,8.243,323.33551,3.44,2024-07-06 15:49:05.549,0.5057949306069816,5.4609687648648775,18.761653657020133,-0.0019054826367366057,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:055.74,0.55,5.462,23.951,23.881,101.8,10.96,8.245,340.07776,4.23,2024-07-06 15:49:05.574,0.5454650682601496,5.461966319983532,18.7537114265142,-0.006992200117350562,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:055.98,0.59,5.463,23.918,23.844,101.8,10.97,8.246,306.24689,2.18,2024-07-06 15:49:05.598,0.5851351982067936,5.462963904100439,18.724567229828722,-0.0025946123500917785,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:056.24,0.57,5.464,23.925,23.851,101.9,10.98,8.247,342.15833,3.1,2024-07-06 15:49:05.624,0.5653001341967864,5.463965115875742,18.729974552487988,-0.02398568023532257,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:056.47,0.55,5.467,23.985,23.915,101.9,10.98,8.246,332.03821,2.69,2024-07-06 15:49:05.647,0.5454650682601496,5.466966263535043,18.779961989792127,0.05953315448160879,-0.08925805897988083,-0.08925805897988083
06-07-2024,15:49:056.72,0.56,5.467,24.057,23.994,102.0,10.98,8.246,350.06461,2.96,2024-07-06 15:49:05.672,0.5553826014692969,5.46696557161223,18.841997064260227,-0.0,-0.08925805897988083,-0.08925805897988083
